Corpus 1,Corpus 2,value
1790,1790,0.0
1791,1790,0.7247204452690369
1792,1790,0.7666751490389095
1793,1790,0.8057520359468597
1794,1790,0.7636377599170946
1795,1790,0.7641596671554446
1796,1790,0.7382376840429812
1797,1790,0.8444055923974801
1798,1790,0.7904271358306417
1799,1790,0.8643423645644043
1800,1790,0.8458268469876705
1801,1790,0.7618897005782749
1802,1790,0.8422472303364985
1803,1790,0.7927194219171938
1804,1790,0.8139166769406875
1805,1790,0.8103293195496768
1806,1790,0.7701456107361657
1807,1790,0.7954978984600858
1808,1790,0.7696635302874304
1809,1790,0.8360956302976331
1810,1790,0.7816620170217227
1811,1790,0.8097647100884449
1812,1790,0.7752218245035518
1813,1790,0.832579967816004
1814,1790,0.8570915492036143
1815,1790,0.7605277239400947
1816,1790,0.7560583343989279
1817,1790,0.7606277384780697
1818,1790,0.7988709655897683
1819,1790,0.8436357480555547
1820,1790,0.7495830179800654
1821,1790,0.8077372385250439
1822,1790,0.7466405163248413
1823,1790,0.7369421500570041
1824,1790,0.7334189238761865
1825,1790,0.7355339598608327
1826,1790,0.7687914018069385
1827,1790,0.7515967193173172
1828,1790,0.7527664473773535
1829,1790,0.7112364833993993
1830,1790,0.7062236414562882
1831,1790,0.7415294902773554
1832,1790,0.7181684732802698
1833,1790,0.7455851680673399
1834,1790,0.7367279726790522
1835,1790,0.7500877611416564
1836,1790,0.7406842829733421
1837,1790,0.727772373712458
1838,1790,0.7255831489734775
1839,1790,0.7422088630553266
1840,1790,0.7293495889326337
1841,1790,0.7330615974998268
1842,1790,0.745689925825423
1843,1790,0.7381047398906978
1844,1790,0.743084710511007
1845,1790,0.755155875101771
1846,1790,0.8451544230910373
1847,1790,0.7878062409524534
1848,1790,0.7404891764083936
1849,1790,0.7484127185902115
1850,1790,0.7232134730933927
1851,1790,0.7321683568109613
1852,1790,0.7268210612122454
1853,1790,0.7238668624930029
1854,1790,0.7314160541127982
1855,1790,0.7662233391879796
1856,1790,0.7545385195554779
1857,1790,0.7523309393271518
1858,1790,0.7369358000419591
1859,1790,0.7645380092132068
1860,1790,0.7616635188690583
1861,1790,0.7566454915535151
1862,1790,0.7618685578128886
1863,1790,0.7611005132939136
1864,1790,0.7475823825934216
1865,1790,0.7585320796739345
1866,1790,0.7526341251792397
1867,1790,0.7267228521257462
1868,1790,0.7590543477571254
1869,1790,0.7397687754285837
1870,1790,0.7550053971851697
1871,1790,0.7493252466960287
1872,1790,0.8424281966180192
1873,1790,0.7590132643979407
1874,1790,0.7453312629512109
1875,1790,0.7444564103551086
1876,1790,0.7733408778801896
1877,1790,0.7545297039018266
1878,1790,0.7515417642356087
1879,1790,0.7530650899966798
1880,1790,0.7427771173191156
1881,1790,0.7871484175308727
1882,1790,0.8012090346556828
1883,1790,0.8294741081747542
1884,1790,0.7375964403143027
1885,1790,0.730563115340073
1886,1790,0.7340399969468087
1887,1790,0.8768093699626891
1888,1790,0.7457466812111488
1889,1790,0.7378505152033125
1890,1790,0.7460067254779367
1891,1790,0.7485670716391617
1892,1790,0.7852498758795584
1893,1790,0.7588047157985006
1894,1790,0.7589466082477888
1895,1790,0.8146873904251805
1896,1790,0.7421304328337606
1897,1790,0.7528707524985592
1898,1790,0.7342195725802627
1899,1790,0.7383726305091045
1900,1790,0.746689406974421
1901,1790,0.7374095786858416
1902,1790,0.7491325437595923
1903,1790,0.7599218766732766
1904,1790,0.7298975765232492
1905,1790,0.738461360328034
1906,1790,0.7318758926620518
1907,1790,0.7355588007131448
1908,1790,0.7427243090435363
1909,1790,0.7571757029510774
1910,1790,0.8082864235865747
1911,1790,0.7519519489934997
1912,1790,0.735833143869939
1913,1790,0.7848773594947974
1914,1790,0.789588545290836
1915,1790,0.7968899079636236
1916,1790,0.8753727329499837
1917,1790,0.8572088983513382
1918,1790,0.8105091969739886
1919,1790,0.7983899983880736
1920,1790,0.8671863904956999
1921,1790,0.7783263443105962
1922,1790,0.7901950332481407
1923,1790,0.7673762797494194
1924,1790,0.7709974350564325
1925,1790,0.751285161962104
1926,1790,0.7477798993369394
1927,1790,0.759697633720884
1928,1790,0.7556006225657308
1929,1790,0.7690119784662581
1930,1790,0.8532775304504554
1931,1790,0.843366435526676
1932,1790,0.8434246838464249
1934,1790,0.8349892280047367
1935,1790,0.8574020392044854
1936,1790,0.8445685837763315
1937,1790,0.8888657582428342
1938,1790,0.8406085937613588
1939,1790,0.8447463864660378
1940,1790,0.8787881501322607
1941,1790,0.850341719595871
1942,1790,0.9195985368544206
1943,1790,0.8875403078820328
1944,1790,0.8845617545106781
1945,1790,0.8254786570931847
1946,1790,0.8618971617236496
1947,1790,0.8119017051133095
1948,1790,0.8293549896130423
1949,1790,0.825996185801968
1950,1790,0.8222588083608443
1951,1790,0.9203435356630248
1952,1790,0.8461648653864628
1953,1790,0.8684186480177176
1954,1790,0.8071312649394055
1955,1790,0.8116805810211035
1956,1790,0.7935316826573798
1957,1790,0.8010388785853365
1958,1790,0.8533401762329272
1959,1790,0.8027622687302198
1960,1790,0.7931254875545789
1961,1790,0.8309489479796207
1962,1790,0.7918276880222925
1963,1790,0.8179779599959324
1964,1790,0.8591978898301004
1965,1790,0.8436667227583832
1966,1790,0.85230778984268
1967,1790,0.8151873057953944
1968,1790,0.8660148559056431
1969,1790,0.9011841882590852
1970,1790,0.8794775060145699
1971,1790,0.9404253132980596
1972,1790,0.8711470420951144
1973,1790,0.9737928872197639
1974,1790,0.9121616746103988
1975,1790,0.927704374380199
1976,1790,0.8624091360598181
1977,1790,0.8081580914866199
1978,1790,0.8415621312365704
1979,1790,0.9210104057518741
1980,1790,0.9634429079026499
1981,1790,0.7909063307567739
1982,1790,0.8777315357694014
1983,1790,0.8287166148079483
1984,1790,0.833127610432117
1985,1790,0.8398866755917408
1986,1790,0.8798790857409299
1987,1790,0.8575574259007163
1988,1790,0.8822357846152514
1989,1790,0.8617473507315002
1990,1790,0.9065275797220143
1991,1790,0.8750155583784682
1992,1790,0.8836429940012721
1993,1790,0.8920888818895378
1994,1790,0.8828806380179968
1995,1790,0.8481625094714957
1996,1790,0.9315748232445192
1997,1790,0.8737648132293122
1998,1790,0.849364080594586
1999,1790,0.8627991436749636
2000,1790,0.8838743143800203
2001,1790,0.9110721147688784
2002,1790,0.8858556929996377
2003,1790,0.8651731946544851
2004,1790,0.8682022463257794
2005,1790,0.8671732376652527
2006,1790,0.836796297855387
2007,1790,0.8475490676805784
2008,1790,0.8582647459507544
2009,1790,0.8709332458622631
2010,1790,0.8514241204886136
2011,1790,0.8401022732710304
2012,1790,0.8714024324751415
2013,1790,0.854384788172697
2014,1790,0.8621641124620796
2015,1790,0.8688749713873509
2016,1790,0.8516296929352211
2017,1790,0.8517511792399266
2018,1790,0.8604944642856832
2019,1790,0.8697546357988337
2020,1790,0.8548816578195714
2021,1790,1.0
2022,1790,0.8776317674275399
1791,1791,0.0
1792,1791,0.5897296634561664
1793,1791,0.586924128077354
1794,1791,0.5784224272497684
1795,1791,0.5846068483666923
1796,1791,0.5703350719273563
1797,1791,0.6576984331698352
1798,1791,0.6281936546085162
1799,1791,0.717316749900423
1800,1791,0.7278290316986741
1801,1791,0.57556085952335
1802,1791,0.6676365906694209
1803,1791,0.6158928778088856
1804,1791,0.637420240896394
1805,1791,0.6151315695010812
1806,1791,0.6015960135171604
1807,1791,0.6297529022120979
1808,1791,0.5869829885904345
1809,1791,0.683411875317724
1810,1791,0.5965984336294062
1811,1791,0.6301390013119793
1812,1791,0.6079952998483805
1813,1791,0.6754545204370546
1814,1791,0.7150442557733564
1815,1791,0.583672572742923
1816,1791,0.5674412384469907
1817,1791,0.5512322587557502
1818,1791,0.6134911433496194
1819,1791,0.666268160244263
1820,1791,0.5736127854032379
1821,1791,0.6117039094537515
1822,1791,0.5712418679593922
1823,1791,0.532939482195213
1824,1791,0.536426251015242
1825,1791,0.51578449547054
1826,1791,0.5460519980569898
1827,1791,0.5270574091363978
1828,1791,0.5503684054646688
1829,1791,0.49559684837873963
1830,1791,0.49213490466471105
1831,1791,0.5301374475388385
1832,1791,0.5021572249026388
1833,1791,0.5258338594199096
1834,1791,0.5216324417034185
1835,1791,0.5455333075674637
1836,1791,0.5361103872908348
1837,1791,0.508444714534348
