Corpus 1,Corpus 2,value
1990,1990,0.0
1991,1990,0.19333822799947978
1992,1990,0.3221719534990422
1993,1990,0.44685745659641724
1994,1990,0.7098124062323125
1995,1990,0.5913198489287518
1996,1990,0.6277226896644734
1997,1990,0.6441425494497608
1998,1990,0.665826853990105
1999,1990,0.7001383965429446
2000,1990,0.7386821607251091
2001,1990,0.7744162783532125
2002,1990,0.8045327268936828
2003,1990,0.8289834775195694
2004,1990,0.860143905689259
2005,1990,0.8397267989540296
2006,1990,0.8207687975421698
2007,1990,0.7931255226890537
2008,1990,0.7839062478616481
2009,1990,0.7608723370822348
2010,1990,0.7778914174086642
2011,1990,0.7688768595010953
2012,1990,0.7894444633126478
2013,1990,0.8031079444687271
2014,1990,0.8253691579952173
2015,1990,0.8493475481331492
2016,1990,0.8813010122803069
2017,1990,0.9063042790119894
2018,1990,0.9494560068065421
2019,1990,1.0
1991,1991,0.0
1992,1991,0.19194508706241337
1993,1991,0.2968346955067814
1994,1991,0.6066770685708797
1995,1991,0.43893974791721574
1996,1991,0.4760506977730204
1997,1991,0.4921813164738631
1998,1991,0.5110031121344346
1999,1991,0.5448054524053807
2000,1991,0.5899871163104836
2001,1991,0.6197589197725428
2002,1991,0.6541289781181021
2003,1991,0.6727228691534258
2004,1991,0.6850778804753361
2005,1991,0.6818511127959124
2006,1991,0.668189568385278
2007,1991,0.643953423994779
2008,1991,0.6160894568510358
2009,1991,0.620051406061352
2010,1991,0.6155479126995447
2011,1991,0.6287969717645688
2012,1991,0.6571336948324532
2013,1991,0.669591544726916
2014,1991,0.7010631804358474
2015,1991,0.727198783583938
2016,1991,0.7662252560828999
2017,1991,0.7950951415625109
2018,1991,0.8469497406493985
2019,1991,0.9056457112094173
1992,1992,0.0
1993,1992,0.13178184839203444
1994,1992,0.526540588037214
1995,1992,0.2822385033779332
1996,1992,0.31817193023678425
1997,1992,0.3374747872653311
1998,1992,0.36255406621343883
1999,1992,0.3985619967793919
2000,1992,0.43433241213977697
2001,1992,0.4703216505831469
2002,1992,0.49836020287766747
2003,1992,0.5234135673266477
2004,1992,0.5722664701312894
2005,1992,0.5361480360376225
2006,1992,0.518372843149537
2007,1992,0.495547608827922
2008,1992,0.512852655168155
2009,1992,0.4769758436384758
2010,1992,0.5203113689049601
2011,1992,0.49755392455718
2012,1992,0.5230318180661907
2013,1992,0.54462551356386
2014,1992,0.5752646656557097
2015,1992,0.6101771448843784
2016,1992,0.6523200532016606
2017,1992,0.6890099285038439
2018,1992,0.7487229771693816
2019,1992,0.8120586230739784
1993,1993,0.0
1994,1993,0.48537384461055144
1995,1993,0.15763084622438264
1996,1993,0.19004831453097534
1997,1993,0.20944166546127652
1998,1993,0.23449697875094064
1999,1993,0.2705309033888965
2000,1993,0.3075758822054367
2001,1993,0.3414686405561787
2002,1993,0.3704598053083847
2003,1993,0.3940117051769037
2004,1993,0.4468520737354581
2005,1993,0.4069062222228587
2006,1993,0.39074916935559906
2007,1993,0.37030529218195457
2008,1993,0.39473228790731896
2009,1993,0.3593300886027748
2010,1993,0.4082104265069823
2011,1993,0.38420736951181855
2012,1993,0.41336571963138036
2013,1993,0.4367255771380144
2014,1993,0.47239311465354145
2015,1993,0.5105159888925105
2016,1993,0.5573223319265538
2017,1993,0.5986698104497893
2018,1993,0.6645157045201627
2019,1993,0.7325369912275698
1994,1994,0.0
1995,1994,0.48029890837978384
1996,1994,0.4747616494106598
1997,1994,0.4771658970040067
1998,1994,0.48424091076186726
1999,1994,0.4903788123605311
2000,1994,0.5086080652953655
2001,1994,0.5365885008755433
2002,1994,0.5506845071743182
2003,1994,0.5614219193504865
2004,1994,0.6022665658199401
2005,1994,0.576749679804297
2006,1994,0.5583763235357742
2007,1994,0.5503688275246158
2008,1994,0.5801108298666995
2009,1994,0.5488279551418357
2010,1994,0.5988839428834337
2011,1994,0.571400466796565
2012,1994,0.5733789222724576
2013,1994,0.5898372491352627
2014,1994,0.5977819156136253
2015,1994,0.6345875595247893
2016,1994,0.6719961771655417
2017,1994,0.7110786831191286
2018,1994,0.7669182866863019
2019,1994,0.8358684319684487
1995,1995,0.0
1996,1995,0.0550941919808419
1997,1995,0.08364618247612096
1998,1995,0.11437115401159913
1999,1995,0.1493991012071866
2000,1995,0.182238723327168
2001,1995,0.21288460596947534
2002,1995,0.24005512658867995
2003,1995,0.26363915381329756
2004,1995,0.33395687960840265
2005,1995,0.2799119922906907
2006,1995,0.26780233670500814
2007,1995,0.2565861993061092
2008,1995,0.3083948779123216
2009,1995,0.2668677618162109
2010,1995,0.33304371455202747
2011,1995,0.3001981926637742
2012,1995,0.3320093476566975
2013,1995,0.35844821880114036
2014,1995,0.39714936960460884
2015,1995,0.4387801711709733
2016,1995,0.4885981654381629
2017,1995,0.5350670708197822
2018,1995,0.606458497012761
2019,1995,0.6776344292035585
1996,1996,0.0
1997,1996,0.031265925356892564
1998,1996,0.0648056277568971
1999,1996,0.09884147537419101
2000,1996,0.12942871014964577
2001,1996,0.16298722204413824
2002,1996,0.1900241042569456
2003,1996,0.215047965185655
2004,1996,0.29905975306126953
2005,1996,0.23162071728916117
2006,1996,0.21648083555127148
2007,1996,0.2040652214737108
2008,1996,0.27200358062624475
2009,1996,0.2161486459649716
2010,1996,0.2979634011563801
2011,1996,0.2531964718382879
2012,1996,0.28411600220837324
2013,1996,0.31232576924335254
2014,1996,0.35141033846117925
2015,1996,0.3951695088706627
2016,1996,0.4463940577183763
2017,1996,0.49489673049513594
2018,1996,0.56813099030982
2019,1996,0.6407455071530759
1997,1997,0.0
1998,1997,0.035300153282950275
1999,1997,0.06994649484776662
2000,1997,0.10385157903442942
2001,1997,0.1379757625639732
2002,1997,0.1672921669486987
2003,1997,0.19201682719122418
2004,1997,0.27879343670128753
2005,1997,0.20767897098426116
2006,1997,0.19101614133652509
2007,1997,0.1763528845140468
2008,1997,0.24725795064280284
2009,1997,0.1871892169714796
2010,1997,0.2725346952538775
2011,1997,0.22422463209262994
2012,1997,0.2557743135922751
2013,1997,0.28372965783656307
2014,1997,0.32373192567168685
2015,1997,0.36767430160276726
2016,1997,0.4196588945851495
2017,1997,0.46862135042431435
2018,1997,0.5425051417400562
2019,1997,0.615763897521592
1998,1998,0.0
1999,1998,0.037802147487520234
2000,1998,0.08424702325188359
2001,1998,0.11201074790957886
2002,1998,0.14664364464472224
2003,1998,0.1670750057315828
2004,1998,0.2483186260320649
2005,1998,0.18049114365305644
2006,1998,0.16505470863519467
2007,1998,0.14952504685175103
2008,1998,0.2140029267918603
2009,1998,0.16231478793149193
2010,1998,0.2402480563819478
2011,1998,0.1975905102023121
2012,1998,0.2320514817081175
2013,1998,0.25801160492592595
2014,1998,0.3008698424166688
2015,1998,0.3440459790214583
2016,1998,0.3973108608565665
2017,1998,0.44635783495027526
2018,1998,0.5211062503301727
2019,1998,0.5952554944973291
1999,1999,0.0
2000,1999,0.05841005167775465
2001,1999,0.0786611768216289
2002,1999,0.11614122314472945
2003,1999,0.13336910461532647
2004,1999,0.2211019892201547
2005,1999,0.14606244118659337
2006,1999,0.13055129383477188
2007,1999,0.11644328192527906
2008,1999,0.1909122687774925
2009,1999,0.1373997016897631
2010,1999,0.2196180937440267
2011,1999,0.17394338635056322
2012,1999,0.20854097859200396
2013,1999,0.2338745068922781
2014,1999,0.27775918764574997
2015,1999,0.3211765440691548
2016,1999,0.3752224401961273
2017,1999,0.42515278932735434
2018,1999,0.500931512200609
2019,1999,0.575873306580296
2000,2000,0.0
2001,2000,0.05150422191907458
2002,2000,0.069304344413467
